ID,PROGRAMS,Actual Title
2996555,A10100,Associate in Arts
3008549,A10100,Associate in Arts
2996303,A10100,Associate in Arts
2977745,A10100,Associate in Arts
2985783,A10100,Associate in Arts
2971540,A10100,Associate in Arts
958315,A10100,Associate in Arts
3000347,A10100,Associate in Arts
2846724,A10100,Associate in Arts
3009733,A10100,Associate in Arts
2814805,A10100,Associate in Arts
3001569,A10100,Associate in Arts
3018634,A10100,Associate in Arts
2988693,A10100,Associate in Arts
2242500,A10100,Associate in Arts
2901245,A10100,Associate in Arts
2965927,A10100,Associate in Arts
3008347,A10100,Associate in Arts
2992756,A10100,Associate in Arts
2924584,A10100,Associate in Arts
2964900,A10100,Associate in Arts
2978009,A10100,Associate in Arts
2988510,A10100,Associate in Arts
2987269,A10100,Associate in Arts
3007301,A10100,Associate in Arts
1534336,A10100,Associate in Arts
3007408,A10100,Associate in Arts
2974878,A10100,Associate in Arts
2997499,A10100,Associate in Arts
2902013,A10100,Associate in Arts
2855133,A10100,Associate in Arts
3008378,A10100,Associate in Arts
2974859,A10100,Associate in Arts
2962613,A10100,Associate in Arts
2986853,A10100,Associate in Arts
2964465,A10100,Associate in Arts
2965202,A10100,Associate in Arts
2929453,A10100,Associate in Arts
2831863,A10100,Associate in Arts
2965057,A10100,Associate in Arts
2955400,A10100,Associate in Arts
2671172,A10100,Associate in Arts
2985826,A10100,Associate in Arts
2549342,A10100,Associate in Arts
2962071,A10100,Associate in Arts
2987426,A10100,Associate in Arts
2965038,A10100,Associate in Arts
2966027,A10100,Associate in Arts
2844071,A10100,Associate in Arts
2988900,A10100,Associate in Arts
2985177,A10100,Associate in Arts
2980843,A10100,Associate in Arts
2984799,A10100,Associate in Arts
2976383,A10100,Associate in Arts
2996037,A10100,Associate in Arts
2939015,A10100,Associate in Arts
2988736,A10100,Associate in Arts
2960288,A10100,Associate in Arts
2920331,A10100,Associate in Arts
2970052,A10100,Associate in Arts
2980194,A10100,Associate in Arts
2637577,A10100,Associate in Arts
3007023,A10100,Associate in Arts
562763,A10100,Associate in Arts
2945793,A10100,Associate in Arts
2965951,A10100,Associate in Arts
2987961,A10100,Associate in Arts
2988698,A10100,Associate in Arts
2992150,A10100,Associate in Arts
2967532,A10100,Associate in Arts
2549461,A10100,Associate in Arts
3007218,A10100,Associate in Arts
2964546,A10100,Associate in Arts
2997687,A10100,Associate in Arts
2985315,A10100,Associate in Arts
2974291,A10100,Associate in Arts
2893029,A10100,Associate in Arts
3008673,A10100,Associate in Arts
2878679,A10100,Associate in Arts
2929389,A10100,Associate in Arts
2947569,A10100,Associate in Arts
3000994,A10100,Associate in Arts
2986770,A10100,Associate in Arts
2983299,A10100,Associate in Arts
2951002,A10100,Associate in Arts
2933559,A10100,Associate in Arts
2992181,A10100,Associate in Arts
2829405,A10100,Associate in Arts
2851667,A10100,Associate in Arts
2920431,A10100,Associate in Arts
2990310,A10100,Associate in Arts
2974971,A10100,Associate in Arts
2811458,A10100,Associate in Arts
2988691,A10100,Associate in Arts
2859434,A10100,Associate in Arts
2969018,A10100,Associate in Arts
3001296,A10100,Associate in Arts
2941307,A10100,Associate in Arts
2947115,A10100,Associate in Arts
2986568,A10100,Associate in Arts
2835175,A10100,Associate in Arts
2964917,A10100,Associate in Arts
2943751,A10100,Associate in Arts
2837008,A10100,Associate in Arts
2964898,A10100,Associate in Arts
3005825,A10100,Associate in Arts
3002606,A10100,Associate in Arts
2978240,A10100,Associate in Arts
2990341,A10100,Associate in Arts
2987248,A10100,Associate in Arts
2902893,A10100,Associate in Arts
2953603,A10100,Associate in Arts
2971783,A10100,Associate in Arts
2823357,A10100,Associate in Arts
2868870,A10100,Associate in Arts
2965219,A10100,Associate in Arts
2945546,A10100,Associate in Arts
2849808,A10100,Associate in Arts
2942056,A10100,Associate in Arts
2944771,A10100,Associate in Arts
2807476,A10100,Associate in Arts
958016,A10100,Associate in Arts
2917293,A10100,Associate in Arts
524480,A10100,Associate in Arts
3001881,A10100,Associate in Arts
2986775,A10100,Associate in Arts
2984671,A10100,Associate in Arts
2971310,A10100,Associate in Arts
2667661,A10100,Associate in Arts
2974025,A10100,Associate in Arts
2860844,A10100,Associate in Arts
2899308,A10100,Associate in Arts
2943832,A10100,Associate in Arts
2983411,A10100,Associate in Arts
2658111,A10100,Associate in Arts
2782908,A10100,Associate in Arts
3008999,A10100,Associate in Arts
2980425,A10100,Associate in Arts
2750737,A10100,Associate in Arts
2998353,A10100,Associate in Arts
2940468,A10100,Associate in Arts
2967549,A10100,Associate in Arts
2485174,A10100,Associate in Arts
2952821,A10100,Associate in Arts
3006731,A10100,Associate in Arts
2977294,A10100,Associate in Arts
2965048,A10100,Associate in Arts
2964796,A10100,Associate in Arts
2788407,A10100,Associate in Arts
2981231,A10100,Associate in Arts
2961936,A10100,Associate in Arts
2988154,A10100,Associate in Arts
2845643,A10100,Associate in Arts
2895364,A10100,Associate in Arts
2512305,A10100,Associate in Arts
2918237,A10100,Associate in Arts
2984645,A10100,Associate in Arts
2906476,A10100,Associate in Arts
2934798,A10100,Associate in Arts
2901279,A10100,Associate in Arts
2983404,A10100,Associate in Arts
2969054,A10100,Associate in Arts
2679629,A10100,Associate in Arts
2932316,A10100,Associate in Arts
3010233,A10100,Associate in Arts
2494339,A10100,Associate in Arts
3012696,A10100,Associate in Arts
2949614,A10100,Associate in Arts
2987952,A10100,Associate in Arts
1490495,A10100,Associate in Arts
2981514,A10100,Associate in Arts
2984481,A10100,Associate in Arts
3005754,A10100,Associate in Arts
2981388,A10100,Associate in Arts
2978295,A10100,Associate in Arts
2924492,A10100,Associate in Arts
2978169,A10100,Associate in Arts
3007228,A10100,Associate in Arts
2824042,A10100,Associate in Arts
2987177,A10100,Associate in Arts
2972953,A10100,Associate in Arts
2602266,A10100,Associate in Arts
2854827,A10100,Associate in Arts
3007820,A10100,Associate in Arts
2904170,A10100,Associate in Arts
2959321,A10100,Associate in Arts
2940763,A10100,Associate in Arts
2943730,A10100,Associate in Arts
2637114,A10100,Associate in Arts
2976493,A10100,Associate in Arts
2904132,A10100,Associate in Arts
2854266,A10100,Associate in Arts
2991920,A10100,Associate in Arts
2988449,A10100,Associate in Arts
2868597,A10100,Associate in Arts
2643117,A10100,Associate in Arts
2977929,A10100,Associate in Arts
2981507,A10100,Associate in Arts
3000676,A10100,Associate in Arts
2997457,A10100,Associate in Arts
2966905,A10100,Associate in Arts
